index,image,species,individual_id,path,class,count
2,0007c33415ce37.jpg,false_killer_whale,60008f293a2b,../input/happy-whale-and-dolphin/train_images/0007c33415ce37.jpg,whale,64
3,0007d9bca26a99.jpg,bottlenose_dolphin,4b00fe572063,../input/happy-whale-and-dolphin/train_images/0007d9bca26a99.jpg,dolphin,65
4,00087baf5cef7a.jpg,humpback_whale,8e5253662392,../input/happy-whale-and-dolphin/train_images/00087baf5cef7a.jpg,whale,50
5,000a8f2d5c316a.jpg,bottlenose_dolphin,b9907151f66e,../input/happy-whale-and-dolphin/train_images/000a8f2d5c316a.jpg,dolphin,140
6,000be9acf46619.jpg,beluga_whale,afb9b3978217,../input/happy-whale-and-dolphin/train_images/000be9acf46619.jpg,whale,26
8,000c3d63069748.jpg,beluga_whale,df94b15285b9,../input/happy-whale-and-dolphin/train_images/000c3d63069748.jpg,whale,39
9,000c476c11bad5.jpg,bottlenose_dolphin,b11b2404c7e3,../input/happy-whale-and-dolphin/train_images/000c476c11bad5.jpg,dolphin,37
10,001001f099519f.jpg,minke_whale,19fbb960f07d,../input/happy-whale-and-dolphin/train_images/001001f099519f.jpg,whale,154
11,00103cbe9d25ce.jpg,fin_whale,180c0ab04dcd,../input/happy-whale-and-dolphin/train_images/00103cbe9d25ce.jpg,whale,122
12,00144776eb476d.jpg,bottlenose_dolphin,b9907151f66e,../input/happy-whale-and-dolphin/train_images/00144776eb476d.jpg,dolphin,140
13,00167e8375c967.jpg,beluga_whale,0ad50d0d9b06,../input/happy-whale-and-dolphin/train_images/00167e8375c967.jpg,whale,32
14,00177f3c614d1e.jpg,bottlenose_dolphin,812be36c2aef,../input/happy-whale-and-dolphin/train_images/00177f3c614d1e.jpg,dolphin,93
15,0017b3749cd769.jpg,bottlenose_dolphin,445270d9ad52,../input/happy-whale-and-dolphin/train_images/0017b3749cd769.jpg,dolphin,58
20,0020004d64ae20.jpg,gray_whale,a8c9dfb8ac6f,../input/happy-whale-and-dolphin/train_images/0020004d64ae20.jpg,whale,49
22,0022bdb8eb5684.jpg,humpback_whale,35f898e6595e,../input/happy-whale-and-dolphin/train_images/0022bdb8eb5684.jpg,whale,57
23,00234b893ea9e8.jpg,false_killer_whale,bfb74132d1db,../input/happy-whale-and-dolphin/train_images/00234b893ea9e8.jpg,whale,45
24,0024057bbc89a4.jpg,minke_whale,114207cab555,../input/happy-whale-and-dolphin/train_images/0024057bbc89a4.jpg,whale,168
25,00243d4b15bafc.jpg,beluga_whale,3cbfd98eea8f,../input/happy-whale-and-dolphin/train_images/00243d4b15bafc.jpg,whale,20
27,0028f6fa123686.jpg,bottlenose_dolphin,956562ff2888,../input/happy-whale-and-dolphin/train_images/0028f6fa123686.jpg,dolphin,131
29,002ac5f9ad7c10.jpg,false_killer_whale,f7bb4f9a9d1a,../input/happy-whale-and-dolphin/train_images/002ac5f9ad7c10.jpg,whale,44
30,002e00960cec44.jpg,common_dolphin,e943980b7a98,../input/happy-whale-and-dolphin/train_images/002e00960cec44.jpg,dolphin,14
31,002fb5fee50b97.jpg,humpback_whale,45fc3a8e1d4e,../input/happy-whale-and-dolphin/train_images/002fb5fee50b97.jpg,whale,24
32,0030835e895969.jpg,killer_whale,1816cc1ae38b,../input/happy-whale-and-dolphin/train_images/0030835e895969.jpg,whale,27
37,0039599b58fc80.jpg,bottlenose_dolphin,e69d5f9f8d1e,../input/happy-whale-and-dolphin/train_images/0039599b58fc80.jpg,dolphin,126
39,0039955230421d.jpg,beluga_whale,5ca799f80b5e,../input/happy-whale-and-dolphin/train_images/0039955230421d.jpg,whale,12
44,004132b34ded14.jpg,humpback_whale,3e025417eb83,../input/happy-whale-and-dolphin/train_images/004132b34ded14.jpg,whale,24
46,0044ec4ae5ecfd.jpg,killer_whale,e6388e8a7f58,../input/happy-whale-and-dolphin/train_images/0044ec4ae5ecfd.jpg,whale,11
48,0046ceef89b3fc.jpg,minke_whale,37c7aba965a5,../input/happy-whale-and-dolphin/train_images/0046ceef89b3fc.jpg,whale,400
49,004797c1c43563.jpg,false_killer_whale,07a477b6a091,../input/happy-whale-and-dolphin/train_images/004797c1c43563.jpg,whale,68
50,0049b56a584eb1.jpg,bottlenose_dolphin,e69d5f9f8d1e,../input/happy-whale-and-dolphin/train_images/0049b56a584eb1.jpg,dolphin,126
53,004a923b0b401e.jpg,minke_whale,ce6e37904aa4,../input/happy-whale-and-dolphin/train_images/004a923b0b401e.jpg,whale,145
58,00549928dca501.jpg,humpback_whale,032fd951a415,../input/happy-whale-and-dolphin/train_images/00549928dca501.jpg,whale,17
62,005e53b1b6aada.jpg,minke_whale,37c7aba965a5,../input/happy-whale-and-dolphin/train_images/005e53b1b6aada.jpg,whale,400
63,005f85f23464f8.jpg,humpback_whale,0b180ad0afa2,../input/happy-whale-and-dolphin/train_images/005f85f23464f8.jpg,whale,38
66,00621ef445e09f.jpg,bottlenose_dolphin,f195c38bcf17,../input/happy-whale-and-dolphin/train_images/00621ef445e09f.jpg,dolphin,146
68,00665aba3c163b.jpg,humpback_whale,be05e480ae65,../input/happy-whale-and-dolphin/train_images/00665aba3c163b.jpg,whale,16
70,006b2548d360a6.jpg,beluga_whale,06ef73efe924,../input/happy-whale-and-dolphin/train_images/006b2548d360a6.jpg,whale,63
72,006f1f7c9ea3c2.jpg,bottlenose_dolphin,812be36c2aef,../input/happy-whale-and-dolphin/train_images/006f1f7c9ea3c2.jpg,dolphin,93
73,006fc52f81ab7d.jpg,bottlenose_dolphin,73e13d5e4ada,../input/happy-whale-and-dolphin/train_images/006fc52f81ab7d.jpg,dolphin,70
76,0070b4e405cd8d.jpg,bottlenose_dolphin,9f3613b5c45b,../input/happy-whale-and-dolphin/train_images/0070b4e405cd8d.jpg,dolphin,90
77,0074ad8c5e4a13.jpg,bottlenose_dolphin,cc0e0b020a90,../input/happy-whale-and-dolphin/train_images/0074ad8c5e4a13.jpg,dolphin,71
81,0079009e883e38.jpg,false_killer_whale,19c2bfaa0819,../input/happy-whale-and-dolphin/train_images/0079009e883e38.jpg,whale,45
82,00790eab417e06.jpg,beluga_whale,1c75e49514cf,../input/happy-whale-and-dolphin/train_images/00790eab417e06.jpg,whale,14
84,007b91c88a2da3.jpg,bottlenose_dolphin,30ca1c6cb592,../input/happy-whale-and-dolphin/train_images/007b91c88a2da3.jpg,dolphin,19
85,0081186855e29a.jpg,beluga_whale,7593d2aee842,../input/happy-whale-and-dolphin/train_images/0081186855e29a.jpg,whale,56
86,00813a03e678c3.jpg,bottlenose_dolphin,15d96d5d42c2,../input/happy-whale-and-dolphin/train_images/00813a03e678c3.jpg,dolphin,99
89,008705d384b02a.jpg,killer_whale,fe8052dcc19e,../input/happy-whale-and-dolphin/train_images/008705d384b02a.jpg,whale,15
94,008dd551cef1d8.jpg,bottlenose_dolphin,6398f8680938,../input/happy-whale-and-dolphin/train_images/008dd551cef1d8.jpg,dolphin,48
95,008f60577b4f60.jpg,spinner_dolphin,0d11516e7fbe,../input/happy-whale-and-dolphin/train_images/008f60577b4f60.jpg,dolphin,12
98,00958b624f455c.jpg,beluga_whale,3a608b68bde4,../input/happy-whale-and-dolphin/train_images/00958b624f455c.jpg,whale,39
100,00967c436ea86f.jpg,beluga_whale,5ac053677ed1,../input/happy-whale-and-dolphin/train_images/00967c436ea86f.jpg,whale,49
102,009b6593ccc800.jpg,minke_whale,4d18b20adff3,../input/happy-whale-and-dolphin/train_images/009b6593ccc800.jpg,whale,60
105,009e1a16460b26.jpg,beluga_whale,3a608b68bde4,../input/happy-whale-and-dolphin/train_images/009e1a16460b26.jpg,whale,39
110,00aa710486d3b5.jpg,bottlenose_dolphin,6398f8680938,../input/happy-whale-and-dolphin/train_images/00aa710486d3b5.jpg,dolphin,48
113,00afe60388a560.jpg,killer_whale,1138a9024ee5,../input/happy-whale-and-dolphin/train_images/00afe60388a560.jpg,whale,14
116,00b3bf2c51d511.jpg,false_killer_whale,4b9bc905af99,../input/happy-whale-and-dolphin/train_images/00b3bf2c51d511.jpg,whale,37
118,00b773df4a863d.jpg,humpback_whale,be3543fc7c74,../input/happy-whale-and-dolphin/train_images/00b773df4a863d.jpg,whale,44
119,00b7e608440f77.jpg,bottlenose_dolphin,812be36c2aef,../input/happy-whale-and-dolphin/train_images/00b7e608440f77.jpg,dolphin,93
122,00bf58d0f7b4c1.jpg,beluga_whale,e5cffdb1b51d,../input/happy-whale-and-dolphin/train_images/00bf58d0f7b4c1.jpg,whale,27
125,00c0bf276875e0.jpg,false_killer_whale,7a890f4d5842,../input/happy-whale-and-dolphin/train_images/00c0bf276875e0.jpg,whale,23
127,00cb904cf19b86.jpg,bottlenose_dolphin,5f48c2296a0e,../input/happy-whale-and-dolphin/train_images/00cb904cf19b86.jpg,dolphin,90
128,00ce336ef6b8b5.jpg,humpback_whale,35f898e6595e,../input/happy-whale-and-dolphin/train_images/00ce336ef6b8b5.jpg,whale,57
131,00d0927689a7a2.jpg,humpback_whale,6a6fa3ec3810,../input/happy-whale-and-dolphin/train_images/00d0927689a7a2.jpg,whale,55
132,00d0f38d99c221.jpg,bottlenose_dolphin,4b8534134eb8,../input/happy-whale-and-dolphin/train_images/00d0f38d99c221.jpg,dolphin,131
133,00d113413a1d49.jpg,beluga_whale,7a8863eb9227,../input/happy-whale-and-dolphin/train_images/00d113413a1d49.jpg,whale,33
135,00d6a347b07263.jpg,spinner_dolphin,365c8c1b1840,../input/happy-whale-and-dolphin/train_images/00d6a347b07263.jpg,dolphin,18
138,00e130666ba6e6.jpg,humpback_whale,938b7e931166,../input/happy-whale-and-dolphin/train_images/00e130666ba6e6.jpg,whale,135
139,00e3258f41806c.jpg,bottlenose_dolphin,735496dc7e64,../input/happy-whale-and-dolphin/train_images/00e3258f41806c.jpg,dolphin,60
140,00e4b6642f7f5a.jpg,false_killer_whale,ea6eccb47a48,../input/happy-whale-and-dolphin/train_images/00e4b6642f7f5a.jpg,whale,40
141,00e67227918b41.jpg,bottlenose_dolphin,6bf9810d3632,../input/happy-whale-and-dolphin/train_images/00e67227918b41.jpg,dolphin,57
144,00e82b4e0691e1.jpg,bottlenose_dolphin,0e4660baf3f1,../input/happy-whale-and-dolphin/train_images/00e82b4e0691e1.jpg,dolphin,79
145,00e9136ab88016.jpg,killer_whale,27f53391fdcc,../input/happy-whale-and-dolphin/train_images/00e9136ab88016.jpg,whale,15
146,00eb3441343226.jpg,beluga_whale,5185e90ddcb1,../input/happy-whale-and-dolphin/train_images/00eb3441343226.jpg,whale,20
151,00f0f055d749fa.jpg,bottlenose_dolphin,208b91b1ca2b,../input/happy-whale-and-dolphin/train_images/00f0f055d749fa.jpg,dolphin,122
152,00f266025063e7.jpg,bottlenose_dolphin,a48bdc9f7fd9,../input/happy-whale-and-dolphin/train_images/00f266025063e7.jpg,dolphin,33
153,00f286edc2e6bb.jpg,humpback_whale,7362d7a01d00,../input/happy-whale-and-dolphin/train_images/00f286edc2e6bb.jpg,whale,94
154,00f32804ed5fb3.jpg,false_killer_whale,2280b5fcc6c2,../input/happy-whale-and-dolphin/train_images/00f32804ed5fb3.jpg,whale,37
155,00f3e4528e819e.jpg,fin_whale,180c0ab04dcd,../input/happy-whale-and-dolphin/train_images/00f3e4528e819e.jpg,whale,122
158,00f6d88f12dcf8.jpg,humpback_whale,8497e07df745,../input/happy-whale-and-dolphin/train_images/00f6d88f12dcf8.jpg,whale,26
163,00fa57e4793b90.jpg,humpback_whale,10e758eb503a,../input/happy-whale-and-dolphin/train_images/00fa57e4793b90.jpg,whale,87
164,00fa70fb2c3673.jpg,humpback_whale,a19b3b964ac1,../input/happy-whale-and-dolphin/train_images/00fa70fb2c3673.jpg,whale,50
165,00fb7dd2e41765.jpg,bottlenose_dolphin,02da0e68dccd,../input/happy-whale-and-dolphin/train_images/00fb7dd2e41765.jpg,dolphin,122
166,00fd2ba8c057e3.jpg,bottlenose_dolphin,7053d3c812b5,../input/happy-whale-and-dolphin/train_images/00fd2ba8c057e3.jpg,dolphin,65
167,00fdcc59386b20.jpg,bottlenose_dolphin,b11b2404c7e3,../input/happy-whale-and-dolphin/train_images/00fdcc59386b20.jpg,dolphin,37
169,01007d63ca94b1.jpg,common_dolphin,d05b5f372c0b,../input/happy-whale-and-dolphin/train_images/01007d63ca94b1.jpg,dolphin,19
174,0106d276033b78.jpg,minke_whale,37c7aba965a5,../input/happy-whale-and-dolphin/train_images/0106d276033b78.jpg,whale,400
175,01086bfef670be.jpg,false_killer_whale,bf2e0d964354,../input/happy-whale-and-dolphin/train_images/01086bfef670be.jpg,whale,63
176,0108abfde9a987.jpg,fin_whale,6c06847d81e4,../input/happy-whale-and-dolphin/train_images/0108abfde9a987.jpg,whale,27
177,01091adf08fe11.jpg,bottlenose_dolphin,15d96d5d42c2,../input/happy-whale-and-dolphin/train_images/01091adf08fe11.jpg,dolphin,99
178,010c211438b04b.jpg,gray_whale,fc0f7c162cc0,../input/happy-whale-and-dolphin/train_images/010c211438b04b.jpg,whale,73
180,010cc9eff49810.jpg,beluga_whale,84a261c0e5cf,../input/happy-whale-and-dolphin/train_images/010cc9eff49810.jpg,whale,51
183,010fcbf54ae273.jpg,bottlenose_dolphin,0b2973489685,../input/happy-whale-and-dolphin/train_images/010fcbf54ae273.jpg,dolphin,43
